Table 5,Characterization factors of the subbasins,Unnamed: 2,Unnamed: 3
,,,
HUC8 ID,Subbasin,Scaled Power Consumption (MWh),Characterization factor
3100103,Charlotte Harbor,11329.073091844997,0.4361012737265351
3100201,Sarasota Bay,21890.15851138865,0.2883834672031516
3100202,Manatee,9505.822306618487,0.3567689367423594
3100203,Little Manatee,4361.434239239052,0.35888471176426656
3100204,Alafia,10337.697919062015,0.3482214016149351
3100205,Hillsborough,69336.41877641699,0.2972473766147327
3100206,Tampa Bay,140059.94922308065,0.34741108950285654
3100207,Crystal-Pithlachascotee,70093.01528287832,0.28699487751722447
3100208,Withlacoochee,22646.009421338,0.3664214137709133
3110101,Waccasassa,2672.3891360791295,0.3854510309004279
3110102,Econfina-Steinhatchee,2351.8455652204825,0.3575469690891897
3110103,Aucilla,3052.984456052037,0.34386285855533133
3110201,Upper Suwannee,2991.820848196854,0.2623035286782822
3110202,Alapaha,5894.292602883592,0.3995648378474261
3110203,Withlacoochee,22646.009421338,0.21762263576912344
3110204,Little,2468.0654254307096,0.36132334560526846
3110205,Lower Suwannee,4309.007667127633,0.1
3110206,Santa Fe,8811.293322780974,0.37546860573357266
3120001,Apalachee Bay-St. Marks,12240.567762975126,0.30007946192357904
3120002,Upper Ochlockonee,2853.5540857976025,0.3306188474336036
3120003,Lower Ochlockonee,11460.293240793999,0.20470624409007387
3130001,Upper Chattahoochee,344120.16995652026,0.22727233566972857
3130002,Middle Chattahoochee-Lake Harding,1243281.3962028825,0.18831910067932095
3130003,Middle Chattahoochee-Walter F,19921.657774390245,0.12068751811513342
3130004,Lower Chattahoochee,5139.046884965564,0.1
3130005,Upper Flint,92633.25457317072,0.37526913147688956
3130006,Middle Flint,5091.970210069913,0.1420643885074073
3130007,Kinchafoonee-Muckalee,3722.6102734999304,0.36278774234124045
3130008,Lower Flint,4163.050366959188,0.1
3130009,Ichawaynochaway,2389.094164143085,0.3483205520044946
3130010,Spring,29010.185192352274,0.3144123585556837
3130011,Apalachicola,2296.010793933758,0.1
3130012,Chipola,6150.391457002634,0.2815570099312288
3130013,New,881.9421172246397,0.324776657410906
3130014,0,293.98069562777164,0.3391387972796665
3140101,St. Andrews-St. Joseph Bays,9517.60660510352,0.28919082011575137
3140102,Choctawhatchee Bay,4859.317946388443,0.22469562777713187
3140103,Yellow,3627.395174954684,0.24838930887389968
3140104,Blackwater,9297.139519108787,0.2444611755406454
3140105,0,15045.799204596451,0.20568165906405958
3140106,Perdido,5859.627689631652,0.24056229667138493
3140107,Perdido Bay,5346.764270218611,0.2076564357968365
3140201,Upper Choctawhatchee,7892.684982881167,0.2928215927647815
3140202,Pea,3748.636676230668,0.3042769109113404
3140203,Lower Choctawhatchee,4421.846924886502,0.1
3140301,Upper Conecuh,1893.9777579510119,0.18223442060891692
3140302,Patsaliga,3312.564858606777,0.3198091375702723
3140303,Sepulga,2287.608308280973,0.3057994492988826
3140304,Lower Conecuh,2209.6406974645924,0.1
3140305,Escambia,50200.16658402335,0.1
3150101,Conasauga,8196.714558714039,0.2706011545762731
3150102,Coosawattee,5055.10917615923,0.26558422821163924
3150103,Oostanaula,4039.026919087375,0.1
3150104,Etowah,49566.96339947685,0.290752645500998
3150105,Upper Coosa,6193.552781642877,0.1
3150106,Middle Coosa,28917.128934694705,0.1
3150107,Lower Coosa,16598.66376319311,0.1
3150108,Upper Tallapoosa,18011.108286135946,0.2898548516003712
3150109,Middle Tallapoosa,3787.9557580376945,0.15600312460258942
3150110,Lower Tallapoosa,15609.882685336612,0.11008771307832807
3150201,Upper Alabama,32856.80874640556,0.1
3150202,Cahaba,31828.09855328631,0.29532860133954847
3150203,Middle Alabama,4734.944697547117,0.1
3150204,Lower Alabama,3472.2926975554324,0.1
3160101,Upper Tombigbee,7049.872824928977,0.10466396127396285
3160102,Town,4011.5916294314716,0.2386113509695867
3160103,Buttahatchee,3413.1182347310837,0.2583415302648463
3160104,Tibbee,8775.189989191173,0.26775066535403874
3160105,Luxapallila,1749.3072170082457,0.2664000836173737
3160106,Middle Tombigbee-Lubbub,5377.135225239953,0.1
3160107,Sipsey,4196.897544819638,0.2848174894073192
3160108,Noxubee,2722.6178928795734,0.29673774432946964
3160109,Mulberry,16103.506324920316,0.14826509020040918
3160110,Sipsey Fork,2840.966818528271,0.23962356805776416
3160111,Locust,36312.13936477966,0.2883360618544619
3160112,Upper Black Warrior,23083.155575796078,0.1
3160113,Lower Black Warrior,11538.478236593266,0.1
3160201,Middle Tombigbee-Chickasaw,6506.11072313768,0.1
3160202,Sucarnoochee,3038.2809534609896,0.30097778437626915
3160203,Lower Tombigbee,3787.9557580376945,0.1
3160204,Mobile-Tensaw,19055.406288484133,0.1
3160205,0,9796.026876630265,0.24159384116521213
3170001,Chunky-Okatibbee,4011.5916294314716,0.2788069412401854
3170002,Upper Chickasawhay,4011.5916294314716,0.1772726993983821
3170003,Lower Chickasawhay,1203.477537266491,0.1
3170004,Upper Leaf,6811.785937071993,0.2858335027326176
3170005,Lower Leaf,12196.962953567212,0.14724621431745274
3170006,Pascagoula,4693.76017199314,0.1
3170007,Black,8966.890605216602,0.2835250057885848
3170008,Escatawpa,10578.779296875,0.2527633454308646
3170009,Mississippi Coastal,31382.919322374863,0.2558442270006903
3180001,Upper Pearl,6819.705721596452,0.2948310457773071
3180002,Middle Pearl-Strong,50192.66413996002,0.13077948149215726
3180003,Middle Pearl-Silver,5955.208324097976,0.1
3180004,Lower Pearl,16209.050840353313,0.1
3180005,Bogue Chitto,3090.0948291200802,0.262482651845074
4010101,Baptism-Brule,1157.475320272866,0.45484260371665997
4010102,Beaver-Lester,9643.8331938829,0.4957472850731673
4010201,St. Louis,10275.303108533399,0.43642590807561216
4010202,Cloquet,1018.1298635888996,0.5268580366428779
4010301,Beartrap-Nemadji,4948.399787064371,0.45652274274111276
4010302,Bad-Montreal,2694.9005837822892,0.42007410508635745
4020101,Black-Presque Isle,1104.3668178627356,0.39885837443329225
4020102,Ontonagan,1641.1888199203852,0.4623489613799041
4020103,Keweenaw Peninsula,2147.288250465424,0.2900265383043085
4020104,Sturgeon,715.7627501220898,0.47783373991122485
4020105,Dead-Kelsey,894.7034377021897,0.46124250789822757
4020201,Betsy-Chocolay,1431.5255003433344,0.44483821069340335
4020202,Tahquamenon,536.8220626411446,0.4375418111113384
4020203,Waiska,178.94068758009976,0.403379518846467
4030101,Manitowoc-Sheboygan,18434.475429246744,0.562190116898432
4030102,Door-Kewaunee,5397.077511843127,0.5896635114557485
4030103,Duck-Pensaukee,5016.624291003118,0.44169000704080874
4030104,Oconto,7229.878226780488,0.4775776026109543
4030105,Peshtigo,2096.6334385011087,0.49171195306303206
4030106,Brule,715.7627501220898,0.5175024309167774
4030107,Michigamme,536.8220626411446,0.4768377471584353
4030108,Menominee,4034.2582483216465,0.2944369848815502
4030109,Cedar-Ford,1968.347502400984,0.5443287116095092
4030110,Escanaba,1252.584873247575,0.47119322306660366
4030111,Tacoosh-Whitefish,894.7034377021897,0.49754471478993995
4030112,Fishdam-Sturgeon,357.8813750610449,0.5256195524593237
4030201,Upper Fox,9037.930462243903,0.14597778064114542
4030202,Wolf,21340.4969980695,0.45408303005652373
4030203,Lake Winnebago,8198.411032912001,0.1
4030204,Lower Fox,71179.68834447754,0.1
4040001,Little Calumet-Galien,83449.62002299578,0.5736458504193196
4040002,Pike-Root,518057.0511710089,0.41193057210701556
4040003,Milwaukee,97307.46704372228,0.49974355655889574
4050001,St. Joseph,57539.28438647623,0.4170542729444758
4050002,Black-Macatawa,8766.377425461753,0.37031525896371653
4050003,Kalamazoo,20670.165042605946,0.32946599066704346
4050004,Upper Grand,36935.489055354425,0.48818488554658357
4050005,Maple,10437.606886596037,0.5236427714993995
4050006,Lower Grand,96602.02039629816,0.16246032679716188
4050007,Thornapple,63818.79524992204,0.35377019219848965
4060101,Pere Marquette-White,11006.158136639342,0.39663615164064464
4060102,Muskegon,10489.310617395857,0.42132013670440027
4060103,Manistee,2684.110252523074,0.42081682095866785
4060104,Betsie-Platte,2863.051000587514,0.4031022580199299
4060105,Boardman-Charlevoix,3220.9324967163943,0.4161149730530589
4060106,Manistique,1252.584873247575,0.4615519429670212
4060107,0,715.7627501220898,0.48092996567480456
4070001,St. Marys,894.7034377021897,0.40385967158671504
4070002,Carp-Pine,1073.6441252822892,0.4685558060632971
4070003,Lone Lake-Ocqueoc,1073.6441252822892,0.5563332857339145
4070004,Cheboygan,1968.347502400984,0.27955416642694575
4070005,Black,8966.890605216602,0.518979622414919
4070006,Thunder Bay,2505.169504557788,0.563811090067197
4070007,Au Sable,2505.169504557788,0.5110506286432863
4080101,Au Gres-Rifle,2505.169504557788,0.4952095832522676
4080102,Kawkawlin-Pine,2659.3148103301,0.5758044933765618
4080103,Pigeon-Wiscoggin,3676.2600711577047,0.5603669449187391
4080104,Birch-Willow,4305.973476539634,0.1
4080201,Tittabawassee,4164.970035908814,0.2538249675254721
4080202,Pine,3059.380609205862,0.40686542722367447
4080203,Shiawassee,17070.120914618765,0.17622847250269022
4080204,Flint,35781.01125103936,0.40431945775470496
4080205,Cass,2700.555013603312,0.5822983274947401
4080206,Saginaw,5881.469310745842,0.1
4090001,St. Clair,27122.617506885737,0.23838311103882956
4090002,Lake St. Clair,41679.49710820572,0.1
4090003,Clinton,97782.63474830239,0.42607148200719724
4090004,Detroit,133771.15810351993,0.7741157554544438
4090005,Huron,51548.789980106914,0.38758761824400223
4100001,Ottawa-Stony,22302.69804356832,0.5599336158398476
4100002,Raisin,16628.338505282427,0.4821282928514998
4100003,St. Joseph,57539.28438647623,0.45076650544448543
4100004,St. Marys,894.7034377021897,0.43126507237042266
4100005,Upper Maumee,6711.878906028409,0.1
4100006,Tiffin,3429.085620279587,0.46416328542344987
4100007,Auglaize,10685.205940220621,0.3052812743468284
4100008,Blanchard,3871.211536545316,0.4639190018279228
4100009,Lower Maumee,13492.669329953505,0.1
4100010,Cedar-Portage,17822.609861903133,0.48761150211354537
4100011,Sandusky,8749.68961936343,0.4397620793589869
4100012,Huron-Vermilion,5414.085343560907,0.41007702747225105
4110001,Black-Rocky,64820.88086862722,0.3368720169121242
4110002,Cuyahoga,76916.79225202675,0.31609585949956015
4110003,Ashtabula-Chagrin,110708.77659021619,0.33741630988314547
4110004,Grand,12331.186791446302,0.3080469889537116
4120101,Chautauqua-Conneaut,19633.15452019914,0.27282271950404857
4120102,Cattaraugus,10194.731235571231,0.2686287513739198
4120103,Buffalo-Eighteenmile,50445.020486750145,0.2833213796559688
4120104,Niagara,49168.57858188401,0.46075419394838835
4130001,Oak Orchard-Twelvemile,179744.4623925998,0.5796153235806936
4130002,Upper Genesee,10949.500546301899,0.3414277870246728
4130003,Lower Genesee,41946.50587945385,0.15487375376658455
4140101,Irondequoit-Ninemile,28209.24602632941,0.3685364461786048
4140102,Salmon-Sandy,7909.268696024668,0.23549855620921709
4140201,Seneca,15505.704451262818,0.3743702361952242
4140202,Oneida,27029.131320885117,0.2564976079684054
4140203,Oswego,736.4353824578714,0.1
4150101,Black,8966.890605216602,0.2157099142026347
4150102,Chaumont-Perch,1098.3002523076498,0.3285342683290534
4150301,Upper St. Lawrence,1281.3503749716601,0.1
4150302,Oswegatchie,2379.6505062114743,0.19157017420163036
4150303,Indian,2013.5505028208152,0.3178584653410047
4150304,Grass,1281.3503749716601,0.2975644213630091
4150305,Raquette,1647.4503783623197,0.26557208530878945
4150306,St. Regis,1830.500501125485,0.2939543407548668
4150307,Salmon,1098.3002523076498,0.2936382245601234
4150308,0,1281.3503749716601,0.339746054673545
5010001,Upper Allegheny,8379.802082316102,0.19762248299446689
5010002,Conewango,3870.0989515956903,0.24872430187882452
5010003,Middle Allegheny-Tionesta,6797.254551000415,0.1
5010004,French,8318.710613340423,0.2628325259208768
5010005,Clarion,4509.703372856084,0.26915224548206956
5010006,Middle Allegheny-Redbank,18890.763080248962,0.1
5010007,Conemaugh,13858.766912582387,0.2610069096018331
5010008,Kiskiminetas,11659.860384485588,0.1
5010009,Lower Allegheny,39035.166367490645,0.1
5020001,Tygart Valley,3265.6990327165327,0.22280220079174068
5020002,West Fork,1577.7339551908951,0.2787585997232485
5020003,Upper Monongahela,3625.046061735033,0.1
5020004,Cheat,6773.377548146756,0.21305233643187785
5020005,Lower Monongahela,64339.08219640577,0.1
5020006,Youghiogheny,32211.799960591045,0.2553303472540839
5030101,Upper Ohio,125194.97751307857,0.1
5030102,Shenango,12624.490912713276,0.30692824966338234
5030103,Mahoning,28197.82193816886,0.33954814769420294
5030104,Beaver,870.4144200831486,0.1
5030105,Connoquenessing,95305.55777200838,0.32494807559607036
5030106,Upper Ohio-Wheeling,10675.018380230944,0.1
5030201,Little Musringum-Middle Island,5956.404183490785,0.1
5030202,Upper Ohio-Shade,6357.153123046147,0.1
5030203,Little Kanawha,7065.171110196369,0.29013170295448587
5030204,Hocking,13501.005486495565,0.3437858219967646
5040001,Tuscarawas,55203.944343516145,0.32785416753880203
5040002,Mohican,8366.140236176067,0.30516063404385346
5040003,Walhonding,7435.576691553491,0.17215195001823108
5040004,Muskingum,9461.284049128395,0.1
5040005,Wills,3399.584931299335,0.37273884144699876
5040006,Licking,29074.779028374447,0.30151141948739035
5050001,Upper New,13799.885120590909,0.2901805566604283
